"year","avg_yearly_return_rate","avg_daily_return_rate","avg_inflation_rate","avg_real_yearly_return_rate","count_countries","region","region_code","avg_regional_growth_rate","real_regional_growth_rate"
1993,-7.17794667580788,0.574335513803251,3.24412116611974,-10.1826679402059,1,"All","all",-7.6526982119165,-10.5544211669963
1994,-42.7224397819207,0.00376997036134391,2.60744159215453,-44.1779666958787,1,"All","all",-7.6526982119165,-9.9994110026183
1995,-19.3881126469017,0.129473024332427,2.80541968853662,-21.5879011074287,1,"All","all",-7.6526982119165,-10.1727301266193
1996,-26.504707627624,0.0832851270846297,2.93120419993441,-28.5976561299933,1,"All","all",-7.6526982119165,-10.2825013018333
1997,-19.0074093602285,0.122191528983517,2.33768993730735,-20.8575152620818,1,"All","all",-7.6526982119165,-9.76217868054675
1998,-20.3369532629857,0.109963258478327,1.55227909874364,-21.5546441261505,1,"All","all",-7.6526982119165,-9.0642744725697
1999,-24.3539425618984,0.080136621073033,2.18802719697358,-25.9736590351341,1,"All","all",-7.6526982119165,-9.63001799606278
2000,-43.1792492408173,-0.0293991744235364,3.37685727149929,-45.035327771714,1,"All","all",-7.6526982119165,-10.6692694811265
2001,-43.6880631880327,-0.0407717512566049,2.82617111885407,-45.2357933790242,1,"All","all",-7.6526982119165,-10.1908582384715
2002,-49.3636338691297,-0.0826720748503099,1.58603162650601,-50.1542039588264,1,"All","all",-7.6526982119165,-9.09448837650229
2003,-15.9101258167467,0.103964126232501,2.27009497336115,-17.7766734203614,1,"All","all",-7.6526982119165,-9.70253639430206
2004,-25.9829024814651,0.0427959705059022,2.67723669309172,-27.912846213639,1,"All","all",-7.6526982119165,-10.0605891215061
2005,2.16092090021165,0.0393454499514006,2.64166569800437,-0.366674682182218,1,"All","all",-7.6526982119165,-10.0294201579009
2006,29.7938692696316,0.11227168416842,2.66539512595057,26.4800409645067,1,"All","all",-7.6526982119165,-10.0502153867998
2007,5.60074816670043,0.03842313599206,2.39238911302647,2.95470853263986,1,"All","all",-7.6526982119165,-9.81038474827916
2008,-45.167207906131,-0.200011469025981,3.23870294585777,-46.8202648967136,1,"All","all",-7.6526982119165,-10.5497268437072
2009,29.8025890399606,0.127054101011478,0.601107496991059,29.0326220241775,1,"All","all",-7.6526982119165,-8.20448791694906
2010,5.83124209903385,0.0368935661385613,1.81034779272034,3.82427563091294,1,"All","all",-7.6526982119165,-9.2947781927855
2011,-15.4828248998829,-0.0482836056336179,3.33267567720316,-18.1689984583119,1,"All","all",-7.6526982119165,-10.6310746500327
2012,9.22046138015167,0.0503346361220457,2.19137043547055,6.91251627316978,1,"All","all",-7.6526982119165,-9.63297449230625
2013,12.1609888709762,0.0581560321806445,1.84423571129869,10.2395911459891,1,"All","all",-7.6526982119165,-9.32495968661053
2014,2.01270759295346,0.0200413740715462,1.15938353046988,0.846253281207249,1,"All","all",-7.6526982119165,-8.7110868362816
2015,-1.24787807935844,0.0116518915192925,0.67622282211429,-1.91811995168083,1,"All","all",-7.6526982119165,-8.27297727363812
2016,4.20161361225754,0.0246540893591979,0.787066087248367,3.37019741012356,1,"All","all",-7.6526982119165,-8.37385651434562
2017,12.9150157790737,0.0553688285816308,1.7366926532301,10.978585296109,1,"All","all",-7.6526982119165,-9.22910959682008
2018,-12.3200637486057,-0.0449065072152514,1.76973949676295,-13.8591392750227,1,"All","all",-7.6526982119165,-9.25858487529996
2019,19.883466966361,0.0784601761202473,1.60901673878824,17.9700189540247,1,"All","all",-7.6526982119165,-9.11505223450232
2020,5.12380649657736,0.03745905941657,0.756003218921091,4.33965717863887,1,"All","all",-7.6526982119165,-8.34560836297495
2021,13.6310419668621,0.0570338470845609,2.34546162210295,11.0088270645102,1,"All","all",-7.6526982119165,-9.76903096195545
2022,-9.47075388193889,-0.0324630935296782,5.88103198382691,-14.4756352170837,1,"All","all",-7.6526982119165,-12.78201576068
2023,13.9635314145248,0.0555542351288221,4.06469372321307,9.49792029864191,1,"All","all",-7.6526982119165,-11.2597188497907
2024,13.0496135011141,0.0527494140790918,2.26654714265906,10.5456756986188,1,"All","all",-7.6526982119165,-9.69940379500492
2025,-10.5864430201595,-0.118637661586685,1.9035677766,-12.2566962759744,1,"All","all",-7.6526982119165,-9.37775408361207
