"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate"
"Europe","Europe","STXE 600","17 European countries",2004,239.300003051758,NA,NA,NA,NA,NA,NA,0.0311957219709421
"Europe","Europe","STXE 600","17 European countries",2005,251.240005493164,NA,NA,310.029998779297,NA,310.029998779297,23.3999331319599,0.0803714934336837
"Europe","Europe","STXE 600","17 European countries",2006,310.010009765625,NA,NA,365.260009765625,NA,365.260009765625,17.8220051803393,0.064418848605381
"Europe","Europe","STXE 600","17 European countries",2007,369.790008544922,400.989990234375,347.720001220703,364.640014648438,0,364.640014648438,-1.39268065049918,0.0043985013270397
"Europe","Europe","STXE 600","17 European countries",2008,360.029998779297,NA,NA,196.899993896484,NA,196.899993896484,-45.3101145559855,-0.2354359767829
"Europe","Europe","STXE 600","17 European countries",2009,205.289993286133,NA,NA,253.160003662109,NA,253.160003662109,23.3182385608321,0.121834945452496
"Europe","Europe","STXE 600","17 European countries",2010,254.240005493164,NA,NA,277.019989013672,NA,277.019989013672,8.96003108414042,0.0472914568259954
"Europe","Europe","STXE 600","17 European countries",2011,276.279998779297,NA,NA,244.539993286133,NA,244.539993286133,-11.4883471961064,-0.0413548581086332
"Europe","Europe","STXE 600","17 European countries",2012,248.220001220703,NA,NA,278.779998779297,NA,278.779998779297,12.3116579680545,0.0561328012168506
"Europe","Europe","STXE 600","17 European countries",2013,285.510009765625,328.420013427734,274.970001220703,327.130004882812,26731583300,327.130004882812,14.5774206485276,0.0672993907223558
"Europe","Europe","STXE 600","17 European countries",2014,326.140014648438,NA,NA,341.019989013672,NA,341.019989013672,4.56244977522131,0.0226900757251896
"Europe","Europe","STXE 600","17 European countries",2015,340.579986572266,415.179992675781,330.850006103516,367.700012207031,69327625800,367.700012207031,7.96289468083915,0.0379359724927777
"Europe","Europe","STXE 600","17 European countries",2016,365.480010986328,365.480010986328,302.589996337891,361.420013427734,74171179300,361.420013427734,-1.11086719835565,0.0010634896970862
"Europe","Europe","STXE 600","17 European countries",2017,364.25,398.049987792969,359.920013427734,389.179992675781,54921207600,389.179992675781,6.84419840103809,0.0308838847119131
"Europe","Europe","STXE 600","17 European countries",2018,388.739990234375,403.720001220703,327.339996337891,336.230010986328,50891180700,336.230010986328,-13.5077379655199,-0.0554832068064641
"Europe","Europe","STXE 600","17 European countries",2019,335.640014648438,420.720001220703,333.510009765625,416.170013427734,47740931500,416.170013427734,23.9929672460678,0.088240721245365
"Europe","Europe","STXE 600","17 European countries",2020,418.730010986328,433.899993896484,268.570007324219,400.25,62298594000,400.25,-4.41334762292247,0.000388244122895313
"Europe","Europe","STXE 600","17 European countries",2021,400.589996337891,490.579986572266,394.399993896484,488.709991455078,47384461300,488.709991455078,21.9975525906193,0.0816664997789654
"Europe","Europe","STXE 600","17 European countries",2022,488.279998779297,495.459991455078,379.720001220703,424.890014648438,53696167500,424.890014648438,-12.9823020171489,-0.0478565478015958
"Europe","Europe","STXE 600","17 European countries",2023,430.010009765625,480.640014648438,427.769989013672,479.019989013672,47149503700,479.019989013672,11.3974042778119,0.0505040455306712
"Europe","Europe","STXE 600","17 European countries",2024,478.170013427734,528.679992675781,464.989990234375,504.850006103516,51361818100,504.850006103516,5.57960389120331,0.0233149878578589
"Europe","Europe","STXE 600","17 European countries",2025,510.869995117188,565.179992675781,464.260009765625,535.630004882812,20449121400,535.630004882812,4.84663613096818,0.0760679086494772
